Label,Frame Index,Time Stamp,Confidence
bird,1913,63.77,0.43
bird,1914,63.80,0.34
bird,1915,63.83,0.41
bird,1916,63.87,0.47
bird,1917,63.90,0.47
bird,1918,63.93,0.44
bird,1919,63.97,0.42
bird,1920,64.00,0.36
bird,1921,64.03,0.37
bird,1922,64.07,0.46
bird,1923,64.10,0.55
bird,1924,64.13,0.58
bird,1925,64.17,0.57
bird,1926,64.20,0.56
bird,1927,64.23,0.56
bird,1928,64.27,0.54
bird,1929,64.30,0.60
bird,1930,64.33,0.62
bird,1931,64.37,0.64
bird,1932,64.40,0.61
bird,1933,64.43,0.56
bird,1934,64.47,0.51
bird,1935,64.50,0.50
bird,1936,64.53,0.48
bird,1937,64.57,0.53
bird,1938,64.60,0.59
bird,1939,64.63,0.58
bird,1940,64.67,0.58
bird,1941,64.70,0.58
bird,1942,64.73,0.47
bird,1943,64.77,0.53
bird,1944,64.80,0.37
bird,1945,64.83,0.43
bird,1946,64.87,0.47
bird,1947,64.90,0.46
bird,1948,64.93,0.48
bird,1949,64.97,0.44
bird,1950,65.00,0.46
bird,1951,65.03,0.51
bird,1952,65.07,0.57
bird,1953,65.10,0.47
bird,1954,65.13,0.46
bird,1955,65.17,0.49
bird,1956,65.20,0.46
bird,1957,65.23,0.46
bird,1958,65.27,0.45
bird,1959,65.30,0.46
bird,1960,65.33,0.55
bird,1961,65.37,0.62
bird,1962,65.40,0.53
bird,1963,65.43,0.68
bird,1964,65.47,0.61
bird,1965,65.50,0.53
bird,1966,65.53,0.69
bird,1967,65.57,0.66
bird,1968,65.60,0.61
bird,1969,65.63,0.64
bird,1970,65.67,0.62
bird,1971,65.70,0.60
bird,1972,65.73,0.57
bird,1973,65.77,0.51
bird,1974,65.80,0.48
bird,1975,65.83,0.65
bird,1976,65.87,0.42
bird,1977,65.90,0.53
bird,1978,65.93,0.58
bird,1979,65.97,0.52
bird,1980,66.00,0.47
bird,1981,66.03,0.60
bird,1982,66.07,0.67
bird,1983,66.10,0.61
bird,1984,66.13,0.58
bird,1985,66.17,0.55
bird,1986,66.20,0.53
bird,1987,66.23,0.57
bird,1988,66.27,0.53
bird,1989,66.30,0.51
bird,1990,66.33,0.63
bird,1991,66.37,0.54
bird,1992,66.40,0.53
bird,1993,66.43,0.48
bird,1994,66.47,0.60
bird,1995,66.50,0.56
bird,1996,66.53,0.60
bird,1997,66.57,0.56
bird,1998,66.60,0.53
bird,1999,66.63,0.58
bird,2000,66.67,0.64
bird,2001,66.70,0.56
bird,2002,66.73,0.50
bird,2003,66.77,0.40
